name,market,popularity
Die For You (with Ariana Grande) - Remix,LV,83
Save Your Tears,LV,88
Reminder,LV,88
Starboy,LY,93
Die For You,LY,90
"One Of The Girls (with JENNIE, Lily Rose Depp)",LY,93
Blinding Lights,LY,91
Creepin' (with The Weeknd & 21 Savage),LY,91
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,LY,91
Stargirl Interlude,LY,87
Die For You (with Ariana Grande) - Remix,LY,83
Save Your Tears,LY,88
Reminder,LY,88
Starboy,MA,93
Die For You,MA,90
"One Of The Girls (with JENNIE, Lily Rose Depp)",MA,93
Blinding Lights,MA,91
Creepin' (with The Weeknd & 21 Savage),MA,91
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,MA,91
Stargirl Interlude,MA,87
Die For You (with Ariana Grande) - Remix,MA,83
Save Your Tears,MA,88
Reminder,MA,88
Starboy,MC,93
Die For You,MC,90
"One Of The Girls (with JENNIE, Lily Rose Depp)",MC,93
Blinding Lights,MC,91
Creepin' (with The Weeknd & 21 Savage),MC,91
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,MC,91
Stargirl Interlude,MC,87
Die For You (with Ariana Grande) - Remix,MC,83
Save Your Tears,MC,88
Reminder,MC,88
Starboy,MD,93
Die For You,MD,90
"One Of The Girls (with JENNIE, Lily Rose Depp)",MD,93
Blinding Lights,MD,91
Creepin' (with The Weeknd & 21 Savage),MD,91
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,MD,91
Stargirl Interlude,MD,87
Die For You (with Ariana Grande) - Remix,MD,83
Save Your Tears,MD,88
Reminder,MD,88
Starboy,ME,93
Die For You,ME,90
"One Of The Girls (with JENNIE, Lily Rose Depp)",ME,93
Blinding Lights,ME,91
Creepin' (with The Weeknd & 21 Savage),ME,91
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,ME,91
Stargirl Interlude,ME,87
Die For You (with Ariana Grande) - Remix,ME,83
Save Your Tears,ME,88
Reminder,ME,88
Starboy,MG,93
Die For You,MG,90
"One Of The Girls (with JENNIE, Lily Rose Depp)",MG,93
Blinding Lights,MG,91
Creepin' (with The Weeknd & 21 Savage),MG,91
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,MG,91
Stargirl Interlude,MG,87
Die For You (with Ariana Grande) - Remix,MG,83
Save Your Tears,MG,88
Reminder,MG,88
Starboy,MH,93
Die For You,MH,90
"One Of The Girls (with JENNIE, Lily Rose Depp)",MH,93
Blinding Lights,MH,91
Creepin' (with The Weeknd & 21 Savage),MH,91
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,MH,91
Stargirl Interlude,MH,87
Die For You (with Ariana Grande) - Remix,MH,83
Save Your Tears,MH,88
Reminder,MH,88
Starboy,MK,93
Die For You,MK,90
"One Of The Girls (with JENNIE, Lily Rose Depp)",MK,93
Blinding Lights,MK,91
Creepin' (with The Weeknd & 21 Savage),MK,91
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,MK,91
Stargirl Interlude,MK,87
Die For You (with Ariana Grande) - Remix,MK,83
Save Your Tears,MK,88
Reminder,MK,88
Starboy,ML,93
Die For You,ML,90
"One Of The Girls (with JENNIE, Lily Rose Depp)",ML,93
Blinding Lights,ML,91
Creepin' (with The Weeknd & 21 Savage),ML,91
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,ML,91
Stargirl Interlude,ML,87
Die For You (with Ariana Grande) - Remix,ML,83
Save Your Tears,ML,88
Reminder,ML,88
Starboy,MN,93
Die For You,MN,90
"One Of The Girls (with JENNIE, Lily Rose Depp)",MN,93
Blinding Lights,MN,91
Creepin' (with The Weeknd & 21 Savage),MN,91
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,MN,91
Stargirl Interlude,MN,87
Die For You (with Ariana Grande) - Remix,MN,83
Save Your Tears,MN,88
Reminder,MN,88
Starboy,MO,93
Die For You,MO,90
"One Of The Girls (with JENNIE, Lily Rose Depp)",MO,93
Blinding Lights,MO,91
Creepin' (with The Weeknd & 21 Savage),MO,91
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,MO,91
Stargirl Interlude,MO,87
Die For You (with Ariana Grande) - Remix,MO,83
Save Your Tears,MO,88
Reminder,MO,88
Starboy,MR,93
Die For You,MR,90
"One Of The Girls (with JENNIE, Lily Rose Depp)",MR,93
Blinding Lights,MR,91
Creepin' (with The Weeknd & 21 Savage),MR,91
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,MR,91
Stargirl Interlude,MR,87
Die For You (with Ariana Grande) - Remix,MR,83
Save Your Tears,MR,88
Reminder,MR,88
Starboy,MT,93
Die For You,MT,90
"One Of The Girls (with JENNIE, Lily Rose Depp)",MT,93
Blinding Lights,MT,91
Creepin' (with The Weeknd & 21 Savage),MT,91
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,MT,91
Stargirl Interlude,MT,87
Die For You (with Ariana Grande) - Remix,MT,83
Save Your Tears,MT,88
Reminder,MT,88
Starboy,MU,93
Die For You,MU,90
"One Of The Girls (with JENNIE, Lily Rose Depp)",MU,93
Blinding Lights,MU,91
Creepin' (with The Weeknd & 21 Savage),MU,91
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,MU,91
Stargirl Interlude,MU,87
Die For You (with Ariana Grande) - Remix,MU,83
Save Your Tears,MU,88
Reminder,MU,88
Starboy,MV,93
Die For You,MV,90
"One Of The Girls (with JENNIE, Lily Rose Depp)",MV,93
Blinding Lights,MV,91
Creepin' (with The Weeknd & 21 Savage),MV,91
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,MV,91
Stargirl Interlude,MV,87
Die For You (with Ariana Grande) - Remix,MV,83
Save Your Tears,MV,88
Reminder,MV,88
Starboy,MW,93
Die For You,MW,90
"One Of The Girls (with JENNIE, Lily Rose Depp)",MW,93
Blinding Lights,MW,91
Creepin' (with The Weeknd & 21 Savage),MW,91
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,MW,91
Stargirl Interlude,MW,87
Die For You (with Ariana Grande) - Remix,MW,83
Save Your Tears,MW,88
Reminder,MW,88
Starboy,MX,93
Die For You,MX,90
"One Of The Girls (with JENNIE, Lily Rose Depp)",MX,93
Blinding Lights,MX,91
Creepin' (with The Weeknd & 21 Savage),MX,91
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,MX,91
Stargirl Interlude,MX,87
Die For You (with Ariana Grande) - Remix,MX,83
Save Your Tears,MX,88
Reminder,MX,88
Starboy,MY,93
Die For You,MY,90
"One Of The Girls (with JENNIE, Lily Rose Depp)",MY,93
Blinding Lights,MY,91
Creepin' (with The Weeknd & 21 Savage),MY,91
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,MY,91
Stargirl Interlude,MY,87
Die For You (with Ariana Grande) - Remix,MY,83
Save Your Tears,MY,88
Reminder,MY,88
Starboy,MZ,93
Die For You,MZ,90
"One Of The Girls (with JENNIE, Lily Rose Depp)",MZ,93
Blinding Lights,MZ,91
Creepin' (with The Weeknd & 21 Savage),MZ,91
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,MZ,91
Stargirl Interlude,MZ,87
Die For You (with Ariana Grande) - Remix,MZ,83
Save Your Tears,MZ,88
Reminder,MZ,88
Starboy,NA,93
Die For You,NA,90
"One Of The Girls (with JENNIE, Lily Rose Depp)",NA,93
Blinding Lights,NA,91
Creepin' (with The Weeknd & 21 Savage),NA,91
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,NA,91
Stargirl Interlude,NA,87
Die For You (with Ariana Grande) - Remix,NA,83
Save Your Tears,NA,88
Reminder,NA,88
Starboy,NE,93
Die For You,NE,90
"One Of The Girls (with JENNIE, Lily Rose Depp)",NE,93
Blinding Lights,NE,91
