total_tracks,id,market,popularity
16.0,2nLOHgzXzwFEpl62zAgCEC,AL,85.0
14.0,4yP0hdKOZPNshxUOjY0cZj,AL,91.0
7.0,4qZBW3f2Q8y0k1A84d4iAO,AL,86.0
18.0,2ODvWsOgouMbaA5xf0RkJe,AL,92.0
14.0,0P3oVJBFOv3TDXlYRhGL7s,AL,88.0
10.0,3hhDpPtCFuQbppwYgsVhMO,AL,65.0
30.0,2XGEyGU76kj55OdHWynX0S,AL,64.0
9.0,04hy4jb1GDD00otiwzsFUB,AL,62.0
9.0,6F87lH0I09qlrzvCCKc7lz,AL,63.0
9.0,7zCODUHkfuRxsUjtuzNqbd,AL,79.0
31.0,1OARrXe5sB0gyy3MhQ8h92,AM,70.0
22.0,4M2Mf4pmARKGVT9MLCe3HA,AM,64.0
24.0,12INlMsFtBjyehNnawBv36,AM,64.0
16.0,2nLOHgzXzwFEpl62zAgCEC,AM,85.0
14.0,4yP0hdKOZPNshxUOjY0cZj,AM,91.0
7.0,4qZBW3f2Q8y0k1A84d4iAO,AM,86.0
18.0,2ODvWsOgouMbaA5xf0RkJe,AM,92.0
14.0,0P3oVJBFOv3TDXlYRhGL7s,AM,88.0
10.0,3hhDpPtCFuQbppwYgsVhMO,AM,65.0
30.0,2XGEyGU76kj55OdHWynX0S,AM,64.0
9.0,04hy4jb1GDD00otiwzsFUB,AM,62.0
9.0,6F87lH0I09qlrzvCCKc7lz,AM,63.0
9.0,7zCODUHkfuRxsUjtuzNqbd,AM,79.0
31.0,1OARrXe5sB0gyy3MhQ8h92,AO,70.0
22.0,4M2Mf4pmARKGVT9MLCe3HA,AO,64.0
24.0,12INlMsFtBjyehNnawBv36,AO,64.0
16.0,2nLOHgzXzwFEpl62zAgCEC,AO,85.0
14.0,4yP0hdKOZPNshxUOjY0cZj,AO,91.0
7.0,4qZBW3f2Q8y0k1A84d4iAO,AO,86.0
18.0,2ODvWsOgouMbaA5xf0RkJe,AO,92.0
14.0,0P3oVJBFOv3TDXlYRhGL7s,AO,88.0
10.0,3hhDpPtCFuQbppwYgsVhMO,AO,65.0
30.0,2XGEyGU76kj55OdHWynX0S,AO,64.0
9.0,04hy4jb1GDD00otiwzsFUB,AO,62.0
9.0,6F87lH0I09qlrzvCCKc7lz,AO,63.0
9.0,7zCODUHkfuRxsUjtuzNqbd,AO,79.0
31.0,1OARrXe5sB0gyy3MhQ8h92,AR,70.0
22.0,4M2Mf4pmARKGVT9MLCe3HA,AR,64.0
24.0,12INlMsFtBjyehNnawBv36,AR,64.0
16.0,2nLOHgzXzwFEpl62zAgCEC,AR,85.0
14.0,4yP0hdKOZPNshxUOjY0cZj,AR,91.0
7.0,4qZBW3f2Q8y0k1A84d4iAO,AR,86.0
18.0,2ODvWsOgouMbaA5xf0RkJe,AR,92.0
14.0,0P3oVJBFOv3TDXlYRhGL7s,AR,88.0
10.0,3hhDpPtCFuQbppwYgsVhMO,AR,65.0
30.0,2XGEyGU76kj55OdHWynX0S,AR,64.0
9.0,04hy4jb1GDD00otiwzsFUB,AR,62.0
9.0,6F87lH0I09qlrzvCCKc7lz,AR,63.0
9.0,7zCODUHkfuRxsUjtuzNqbd,AR,79.0
31.0,1OARrXe5sB0gyy3MhQ8h92,AT,70.0
22.0,4M2Mf4pmARKGVT9MLCe3HA,AT,64.0
24.0,12INlMsFtBjyehNnawBv36,AT,64.0
16.0,2nLOHgzXzwFEpl62zAgCEC,AT,85.0
14.0,4yP0hdKOZPNshxUOjY0cZj,AT,91.0
7.0,4qZBW3f2Q8y0k1A84d4iAO,AT,86.0
18.0,2ODvWsOgouMbaA5xf0RkJe,AT,92.0
14.0,0P3oVJBFOv3TDXlYRhGL7s,AT,88.0
10.0,3hhDpPtCFuQbppwYgsVhMO,AT,65.0
30.0,2XGEyGU76kj55OdHWynX0S,AT,64.0
9.0,04hy4jb1GDD00otiwzsFUB,AT,62.0
9.0,6F87lH0I09qlrzvCCKc7lz,AT,63.0
9.0,7zCODUHkfuRxsUjtuzNqbd,AT,79.0
31.0,1OARrXe5sB0gyy3MhQ8h92,AU,70.0
22.0,4M2Mf4pmARKGVT9MLCe3HA,AU,64.0
24.0,12INlMsFtBjyehNnawBv36,AU,64.0
16.0,2nLOHgzXzwFEpl62zAgCEC,AU,85.0
14.0,4yP0hdKOZPNshxUOjY0cZj,AU,91.0
7.0,4qZBW3f2Q8y0k1A84d4iAO,AU,86.0
18.0,2ODvWsOgouMbaA5xf0RkJe,AU,92.0
14.0,0P3oVJBFOv3TDXlYRhGL7s,AU,88.0
10.0,3hhDpPtCFuQbppwYgsVhMO,AU,65.0
30.0,2XGEyGU76kj55OdHWynX0S,AU,64.0
9.0,04hy4jb1GDD00otiwzsFUB,AU,62.0
9.0,6F87lH0I09qlrzvCCKc7lz,AU,63.0
9.0,7zCODUHkfuRxsUjtuzNqbd,AU,79.0
31.0,1OARrXe5sB0gyy3MhQ8h92,AZ,70.0
22.0,4M2Mf4pmARKGVT9MLCe3HA,AZ,64.0
24.0,12INlMsFtBjyehNnawBv36,AZ,64.0
16.0,2nLOHgzXzwFEpl62zAgCEC,AZ,85.0
14.0,4yP0hdKOZPNshxUOjY0cZj,AZ,91.0
7.0,4qZBW3f2Q8y0k1A84d4iAO,AZ,86.0
18.0,2ODvWsOgouMbaA5xf0RkJe,AZ,92.0
14.0,0P3oVJBFOv3TDXlYRhGL7s,AZ,88.0
10.0,3hhDpPtCFuQbppwYgsVhMO,AZ,65.0
30.0,2XGEyGU76kj55OdHWynX0S,AZ,64.0
9.0,04hy4jb1GDD00otiwzsFUB,AZ,62.0
9.0,6F87lH0I09qlrzvCCKc7lz,AZ,63.0
9.0,7zCODUHkfuRxsUjtuzNqbd,AZ,79.0
31.0,1OARrXe5sB0gyy3MhQ8h92,BA,70.0
22.0,4M2Mf4pmARKGVT9MLCe3HA,BA,64.0
24.0,12INlMsFtBjyehNnawBv36,BA,64.0
16.0,2nLOHgzXzwFEpl62zAgCEC,BA,85.0
14.0,4yP0hdKOZPNshxUOjY0cZj,BA,91.0
7.0,4qZBW3f2Q8y0k1A84d4iAO,BA,86.0
18.0,2ODvWsOgouMbaA5xf0RkJe,BA,92.0
14.0,0P3oVJBFOv3TDXlYRhGL7s,BA,88.0
10.0,3hhDpPtCFuQbppwYgsVhMO,BA,65.0
30.0,2XGEyGU76kj55OdHWynX0S,BA,64.0
9.0,04hy4jb1GDD00otiwzsFUB,BA,62.0
9.0,6F87lH0I09qlrzvCCKc7lz,BA,63.0
9.0,7zCODUHkfuRxsUjtuzNqbd,BA,79.0
31.0,1OARrXe5sB0gyy3MhQ8h92,BB,70.0
22.0,4M2Mf4pmARKGVT9MLCe3HA,BB,64.0
24.0,12INlMsFtBjyehNnawBv36,BB,64.0
16.0,2nLOHgzXzwFEpl62zAgCEC,BB,85.0
14.0,4yP0hdKOZPNshxUOjY0cZj,BB,91.0
7.0,4qZBW3f2Q8y0k1A84d4iAO,BB,86.0
18.0,2ODvWsOgouMbaA5xf0RkJe,BB,92.0
14.0,0P3oVJBFOv3TDXlYRhGL7s,BB,88.0
10.0,3hhDpPtCFuQbppwYgsVhMO,BB,65.0
30.0,2XGEyGU76kj55OdHWynX0S,BB,64.0
9.0,04hy4jb1GDD00otiwzsFUB,BB,62.0
9.0,6F87lH0I09qlrzvCCKc7lz,BB,63.0
9.0,7zCODUHkfuRxsUjtuzNqbd,BB,79.0
31.0,1OARrXe5sB0gyy3MhQ8h92,BD,70.0
22.0,4M2Mf4pmARKGVT9MLCe3HA,BD,64.0
24.0,12INlMsFtBjyehNnawBv36,BD,64.0
16.0,2nLOHgzXzwFEpl62zAgCEC,BD,85.0
14.0,4yP0hdKOZPNshxUOjY0cZj,BD,91.0
7.0,4qZBW3f2Q8y0k1A84d4iAO,BD,86.0
18.0,2ODvWsOgouMbaA5xf0RkJe,BD,92.0
14.0,0P3oVJBFOv3TDXlYRhGL7s,BD,88.0
10.0,3hhDpPtCFuQbppwYgsVhMO,BD,65.0
30.0,2XGEyGU76kj55OdHWynX0S,BD,64.0
9.0,04hy4jb1GDD00otiwzsFUB,BD,62.0
9.0,6F87lH0I09qlrzvCCKc7lz,BD,63.0
9.0,7zCODUHkfuRxsUjtuzNqbd,BD,79.0
31.0,1OARrXe5sB0gyy3MhQ8h92,BE,70.0
22.0,4M2Mf4pmARKGVT9MLCe3HA,BE,64.0
24.0,12INlMsFtBjyehNnawBv36,BE,64.0
16.0,2nLOHgzXzwFEpl62zAgCEC,BE,85.0
14.0,4yP0hdKOZPNshxUOjY0cZj,BE,91.0
7.0,4qZBW3f2Q8y0k1A84d4iAO,BE,86.0
18.0,2ODvWsOgouMbaA5xf0RkJe,BE,92.0
14.0,0P3oVJBFOv3TDXlYRhGL7s,BE,88.0
10.0,3hhDpPtCFuQbppwYgsVhMO,BE,65.0
30.0,2XGEyGU76kj55OdHWynX0S,BE,64.0
9.0,04hy4jb1GDD00otiwzsFUB,BE,62.0
9.0,6F87lH0I09qlrzvCCKc7lz,BE,63.0
9.0,7zCODUHkfuRxsUjtuzNqbd,BE,79.0
31.0,1OARrXe5sB0gyy3MhQ8h92,BF,70.0
22.0,4M2Mf4pmARKGVT9MLCe3HA,BF,64.0
24.0,12INlMsFtBjyehNnawBv36,BF,64.0
16.0,2nLOHgzXzwFEpl62zAgCEC,BF,85.0
14.0,4yP0hdKOZPNshxUOjY0cZj,BF,91.0
7.0,4qZBW3f2Q8y0k1A84d4iAO,BF,86.0
18.0,2ODvWsOgouMbaA5xf0RkJe,BF,92.0
14.0,0P3oVJBFOv3TDXlYRhGL7s,BF,88.0
10.0,3hhDpPtCFuQbppwYgsVhMO,BF,65.0
30.0,2XGEyGU76kj55OdHWynX0S,BF,64.0
9.0,04hy4jb1GDD00otiwzsFUB,BF,62.0
9.0,6F87lH0I09qlrzvCCKc7lz,BF,63.0
